crowd_density_norm,facial_discomfort_prob,audio_overload_score,physio_stress_prob,visual_confusion_prob,overload_probability,overload_level,crowd_weight,face_weight,audio_weight,physio_weight
0.0475697090776776,0.46002078,0.7424679383496652,0.9715637530614506,0.9957202076911926,,High,,,,
0.0517137127074419,0.46002078,0.6716184830938859,0.9856206413626482,0.9957175850868224,,High,,,,
0.0527496944746487,0.46002078,0.6598707124685489,0.9673139752392352,0.9957202076911926,,High,,,,
0.0555123805746997,0.46002078,0.576277671216917,0.5700126271453564,0.995725691318512,,High,,,,
0.0575843849416131,0.46002078,0.5461941682924134,0.6768016878302404,0.995733678340912,,High,,,,
0.0548217192578119,0.46002078,0.5506316023916212,0.9934800345940084,0.9957336187362672,,High,,,,
0.0492963827861471,0.46002078,0.5530800698523307,0.971763913591702,0.9957178831100464,,High,,,,
0.0500733895278021,0.46002078,0.6016350122326912,0.7181043890484602,0.9957091808319092,,High,,,,
0.0746784209686482,0.46002078,0.5785159092116373,0.9886953620713338,0.99569970369339,,High,,,,
0.0843477610700773,0.46002078,0.5102717551026217,0.9760300396946168,0.9956950545310974,,High,,,,
0.0815850647619013,0.46002078,0.5370232880155471,0.8786905874364416,0.9956957697868348,,High,,,,
0.0768367350318914,0.46002078,0.5509803089175195,0.9376358220708711,0.9957008361816406,,High,,,,
0.0694983998432399,0.46002078,0.5460312962067122,0.9662937637297162,0.995705246925354,,High,,,,
0.066045052426301,0.46002078,0.5747220326062235,0.9830000392276,0.9957129955291748,,High,,,,
0.0671673949304624,0.46002078,0.572098679972919,0.9691886145278024,0.9957156181335448,,High,,,,
0.078218067873792,0.46002078,0.5706586335407791,0.9383541861184068,0.9957101941108704,,High,,,,
0.0809807437657181,0.46002078,0.2607414061690178,0.9576204416171052,0.9957050085067748,,High,,,,
0.0768367452400164,0.46002078,0.2425887383392819,0.9936359960137304,0.9956974983215332,,High,,,,
0.0768367350318914,0.46002078,0.6240613104540612,0.9933140613463254,0.9956974387168884,,High,,,,
0.078218067873792,0.46002078,0.5933097121249303,0.9825154228378264,0.9956984519958496,,High,,,,
0.0809807335575932,0.46002078,0.497114308644086,0.9912145145731952,0.9956938028335572,,High,,,,
0.0800310716948412,0.46002078,0.4070972023834655,0.976513185282636,0.9956812858581544,,High,,,,
0.0810670738782979,0.46002078,0.4844958774688394,0.938500011081134,0.9956775903701782,,High,,,,
0.0810670738782979,0.46002078,0.4958196312458313,0.9793666960261512,0.995680034160614,,High,,,,
0.0824484067201985,0.46002078,0.4981399699617291,0.988992753403348,0.9956785440444946,,High,,,,
0.084175070220543,0.46002078,0.4914401633442594,0.9939904686707336,0.9957016110420228,,High,,,,
0.0855564030624436,0.46002078,0.541932877093865,0.7481632994853838,0.9957156777381896,,High,,,,
